number,value,datetime_start,datetime_complete,duration,params_hmm_detector.lookback_days,params_hmm_detector.min_samples,params_hmm_detector.retrain_frequency,params_market_type.mean_reverting.min_regime_score,params_market_type.neutral.min_regime_score,params_market_type.trend_following.min_regime_score,params_position_sizing.max_size_adjustment,params_position_sizing.min_size_adjustment,params_risk.atr_stop_multiplier,params_risk.dynamic_target_atr_multiplier,params_risk.max_bars_held,params_risk.risk_per_trade,params_risk.trailing_stop_atr_multiplier,user_attrs_max_drawdown,user_attrs_profit_loss,user_attrs_trade_count,user_attrs_win_rate,state
0,0.11148025304974736,2025-03-30 00:48:21.918295,2025-03-30 00:48:29.867851,0 days 00:00:07.949556,20,300,5,45.0,45.0,75.0,2.0,0.9,3.0,1.5,8,0.009000000000000001,2.1,6.031712499999994,1445.347857142915,33,66.66666666666666,COMPLETE
1,0.2680615678260412,2025-03-30 00:48:29.868101,2025-03-30 00:48:37.978386,0 days 00:00:08.110285,30,250,7,40.0,50.0,65.0,1.5,0.8,1.7,1.1,14,0.008,1.2,2.3950601662778674,2110.5085714286106,42,64.28571428571429,COMPLETE
2,0.1402140271111979,2025-03-30 00:48:37.978683,2025-03-30 00:48:46.027944,0 days 00:00:08.049261,20,300,5,47.5,50.0,80.0,1.1,0.8,2.3,0.8,14,0.007,1.9,2.6791618795211214,873.1953571428458,32,68.75,COMPLETE
3,-0.041745974605941365,2025-03-30 00:48:46.028191,2025-03-30 00:48:51.297841,0 days 00:00:05.269650,25,200,11,42.5,47.5,72.5,2.0,0.8,1.6,0.8,20,0.01,1.7000000000000002,6.944116495418267,-502.2446428571857,28,50.0,COMPLETE
4,0.09055842456410543,2025-03-30 00:48:51.298103,2025-03-30 00:49:00.457027,0 days 00:00:09.158924,20,200,5,37.5,57.5,70.0,1.3,0.6,2.9000000000000004,1.9000000000000001,6,0.015,1.9,7.0047593522837905,1221.0689285715052,35,57.14285714285714,COMPLETE
5,-0.1735295098360141,2025-03-30 00:49:00.457422,2025-03-30 00:49:09.701384,0 days 00:00:09.243962,35,150,7,45.0,57.5,77.5,1.8,0.5,1.7,0.8,20,0.011,2.2,9.067625446428702,-2033.4494642857535,33,51.515151515151516,COMPLETE
6,0.14762143701419378,2025-03-30 00:49:09.701640,2025-03-30 00:49:17.967593,0 days 00:00:08.265953,20,200,7,45.0,60.0,77.5,1.5,0.5,1.6,1.6,10,0.009000000000000001,2.3,4.0269026785714415,1512.0439285714456,35,60.0,COMPLETE
7,0.04223709134653391,2025-03-30 00:49:17.967859,2025-03-30 00:49:23.271668,0 days 00:00:05.303809,30,150,9,35.0,55.0,65.0,1.3,0.7,2.7,1.8,12,0.013000000000000001,1.8,7.849703147023472,413.0678571428434,33,57.57575757575758,COMPLETE
8,0.2898469325522924,2025-03-30 00:49:23.271911,2025-03-30 00:49:31.766812,0 days 00:00:08.494901,20,175,7,47.5,55.0,80.0,1.9,0.9,1.8,1.7000000000000002,8,0.015,1.6,4.471949999999943,5196.358214285763,30,63.33333333333333,COMPLETE
9,-0.1506876654154923,2025-03-30 00:49:31.767055,2025-03-30 00:49:40.456585,0 days 00:00:08.689530,25,175,5,47.5,60.0,70.0,1.0,0.7,2.9000000000000004,1.8,20,0.007,1.8,5.949477081622813,-1150.1551785714037,38,55.26315789473685,COMPLETE
